group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-34.4804,0.0,-54.6251,-14.3357,True
0,2,-78.9249,0.0,-101.597,-56.2528,True
0,3,-46.4862,0.1147,-98.4995,5.5272,False
0,4,22.882,0.2583,-6.7702,52.5342,False
0,5,-52.4102,0.0,-75.0823,-29.7381,True
0,6,-60.329,0.0,-86.3357,-34.3223,True
0,7,-59.2884,0.0,-92.1845,-26.3922,True
0,8,-82.2048,0.0,-120.7789,-43.6306,True
1,2,-44.4445,0.0,-63.9062,-24.9829,True
1,3,-12.0058,0.9974,-62.7021,38.6906,False
1,4,57.3624,0.0,30.0863,84.6384,True
1,5,-17.9298,0.0935,-37.3915,1.5318,False
1,6,-25.8486,0.0189,-49.1097,-2.5875,True
1,7,-24.808,0.2089,-55.5795,5.9635,False
1,8,-47.7244,0.0031,-84.5034,-10.9454,True
2,3,32.4388,0.5334,-19.3139,84.1914,False
2,4,101.8069,0.0,72.6145,130.9994,True
2,5,26.5147,0.0081,4.4473,48.5821,True
2,6,18.596,0.3277,-6.8853,44.0772,False
2,7,19.6365,0.5814,-12.8458,52.1189,False
2,8,-3.2799,1.0,-41.5017,34.942,False
3,4,69.3682,0.0046,14.1996,124.5367,True
3,5,-5.9241,1.0,-57.6767,45.8286,False
3,6,-13.8428,0.995,-67.1407,39.455,False
3,7,-12.8022,0.9982,-69.78,44.1756,False
3,8,-35.7186,0.6104,-96.1527,24.7155,False
4,5,-75.2922,0.0,-104.4847,-46.0998,True
4,6,-83.211,0.0,-115.0625,-51.3594,True
4,7,-82.1704,0.0,-119.8577,-44.4831,True
4,8,-105.0868,0.0,-147.8201,-62.3534,True
5,6,-7.9187,0.9839,-33.4,17.5625,False
5,7,-6.8782,0.9988,-39.3605,25.6042,False
5,8,-29.7946,0.2464,-68.0164,8.4273,False
6,7,1.0406,1.0,-33.851,35.9322,False
6,8,-21.8758,0.7108,-62.1652,18.4136,False
7,8,-22.9164,0.7766,-67.9613,22.1285,False
