group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.2738,0.8617,-0.8734,0.3257,False
0,2,-0.7978,0.0097,-1.4726,-0.123,True
0,3,-0.1097,1.0,-1.6578,1.4384,False
0,4,1.8398,0.0,0.9572,2.7223,True
0,5,0.5486,0.2,-0.1262,1.2234,False
0,6,-0.6049,0.2436,-1.3789,0.1692,False
0,7,0.1808,0.9996,-0.7983,1.1599,False
0,8,0.1672,0.9999,-0.9809,1.3153,False
1,2,-0.524,0.1059,-1.1032,0.0553,False
1,3,0.1641,1.0,-1.3448,1.673,False
1,4,2.1136,0.0,1.3018,2.9254,True
1,5,0.8224,0.0009,0.2432,1.4017,True
1,6,-0.331,0.8291,-1.0234,0.3613,False
1,7,0.4546,0.7986,-0.4612,1.3705,False
1,8,0.4411,0.9265,-0.6536,1.5357,False
2,3,0.6881,0.8757,-0.8522,2.2284,False
2,4,2.6376,0.0,1.7687,3.5064,True
2,5,1.3464,0.0,0.6896,2.0032,True
2,6,0.1929,0.9957,-0.5655,0.9513,False
2,7,0.9786,0.0451,0.0118,1.9454,True
2,8,0.965,0.1582,-0.1726,2.1027,False
3,4,1.9495,0.0093,0.3075,3.5915,True
3,5,0.6583,0.9001,-0.882,2.1987,False
3,6,-0.4951,0.9835,-2.0815,1.0912,False
3,7,0.2905,0.9997,-1.4053,1.9864,False
3,8,0.277,0.9999,-1.5218,2.0757,False
4,5,-1.2912,0.0004,-2.16,-0.4223,True
4,6,-2.4446,0.0,-3.3927,-1.4966,True
4,7,-1.659,0.0004,-2.7807,-0.5373,True
4,8,-1.6725,0.0026,-2.9444,-0.4006,True
5,6,-1.1535,0.0003,-1.9119,-0.3951,True
5,7,-0.3678,0.9463,-1.3346,0.599,False
5,8,-0.3814,0.9743,-1.519,0.7562,False
6,7,0.7857,0.2822,-0.2528,1.8242,False
6,8,0.7721,0.497,-0.427,1.9713,False
7,8,-0.0136,1.0,-1.3543,1.3271,False
