group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-7103.7742,0.0021,-12427.4097,-1780.1388,True
0,2,-14818.2454,0.0,-20809.7994,-8826.6914,True
0,3,14007.9127,0.0426,262.3451,27753.4803,True
0,4,10348.7443,0.0024,2512.5651,18184.9234,True
0,5,-10697.8633,0.0,-16689.4173,-4706.3093,True
0,6,-9208.7277,0.002,-16081.5115,-2335.9439,True
0,7,-15031.2507,0.0,-23724.7109,-6337.7904,True
0,8,-9068.7672,0.1182,-19262.753,1125.2185,False
1,2,-7714.4711,0.0004,-12857.5916,-2571.3507,True
1,3,21111.687,0.0002,7714.1649,34509.209,True
1,4,17452.5185,0.0,10244.282,24660.7549,True
1,5,-3594.0891,0.3852,-8737.2095,1549.0314,False
1,6,-2104.9534,0.9708,-8252.1581,4042.2513,False
1,7,-7927.4764,0.0614,-16059.4639,204.511,False
1,8,-1964.993,0.9991,-11684.577,7754.5911,False
2,3,28826.1581,0.0,15149.491,42502.8252,True
2,4,25166.9896,0.0,17452.309,32881.6703,True
2,5,4120.3821,0.3704,-1711.3684,9952.1325,False
2,6,5609.5177,0.1754,-1124.4077,12343.4431,False
2,7,-213.0053,1.0,-8797.1095,8371.0989,False
2,8,5749.4781,0.6568,-4351.4099,15850.3662,False
3,4,-3659.1685,0.9961,-18238.5445,10920.2076,False
3,5,-24705.776,0.0,-38382.4431,-11029.109,True
3,6,-23216.6404,0.0001,-37301.6558,-9131.625,True
3,7,-29039.1634,0.0,-44096.6783,-13981.6485,True
3,8,-23076.68,0.0007,-39047.5863,-7105.7736,True
4,5,-21046.6076,0.0,-28761.2883,-13331.9269,True
4,6,-19557.4719,0.0,-27974.8786,-11140.0652,True
4,7,-25379.9949,0.0,-35339.6049,-15420.385,True
4,8,-19417.5115,0.0,-30710.6476,-8124.3753,True
5,6,1489.1357,0.9984,-5244.7897,8223.061,False
5,7,-4333.3874,0.7837,-12917.4916,4250.7168,False
5,8,1629.0961,0.9998,-8471.792,11729.9841,False
6,7,-5822.523,0.5235,-15043.3301,3398.284,False
6,8,139.9604,1.0,-10507.3104,10787.2313,False
7,8,5962.4834,0.7907,-5941.5273,17866.4942,False
