group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-12199.4677,0.0656,-24819.576,420.6406,False
0,2,-19961.8212,0.001,-34165.2845,-5758.3579,True
0,3,9633.2863,0.9883,-22951.6932,42218.2658,False
0,4,-13889.0509,0.2968,-32465.3473,4687.2456,False
0,5,18134.3172,0.0038,3930.8539,32337.7805,True
0,6,-14005.3269,0.1463,-30297.8167,2287.1628,False
0,7,66883.6421,0.0,46275.0915,87492.1926,True
0,8,13199.2715,0.7043,-10966.3961,37364.9391,False
1,2,-7762.3536,0.5124,-19954.5365,4429.8294,False
1,3,21832.754,0.4075,-9927.1555,53592.6634,False
1,4,-1689.5832,1.0,-18777.2907,15398.1242,False
1,5,30333.7849,0.0,18141.6019,42525.9678,True
1,6,-1805.8593,1.0,-16378.3051,12766.5866,False
1,7,79083.1097,0.0,59805.5759,98360.6436,True
1,8,25398.7391,0.0205,2357.6791,48439.7991,True
2,3,29595.1075,0.0996,-2826.5378,62016.7528,False
2,4,6072.7703,0.9757,-12215.5041,24361.0447,False
2,5,38096.1384,0.0,24271.5024,51920.7744,True
2,6,5956.4943,0.9518,-10006.8203,21919.8089,False
2,7,86845.4633,0.0,66496.1501,107194.7765,True
2,8,33161.0927,0.0012,9216.1208,57106.0646,True
3,4,-23522.3372,0.4211,-58083.9272,11039.2528,False
3,5,8501.0309,0.9947,-23920.6144,40922.6762,False
3,6,-23638.6132,0.3677,-57028.2813,9751.0549,False
3,7,57250.3558,0.0001,21555.2991,92945.4124,True
3,8,3565.9852,1.0,-34294.3397,41426.3101,False
4,5,32023.3681,0.0,13735.0937,50311.6425,True
4,6,-116.276,1.0,-20070.4193,19837.8672,False
4,7,80772.693,0.0,57162.6322,104382.7537,True
4,8,27088.3224,0.0453,317.0299,53859.6149,True
5,6,-32139.6441,0.0,-48102.9588,-16176.3295,True
5,7,48749.3249,0.0,28400.0117,69098.6381,True
5,8,-4935.0457,0.999,-28880.0177,19009.9262,False
6,7,80888.969,0.0,59030.3002,102747.6378,True
6,8,27204.5984,0.0256,1964.3818,52444.815,True
7,8,-53684.3706,0.0,-81903.7906,-25464.9505,True
