group1,group2,meandiff,p-adj,lower,upper,reject
0,1,2485.8409,1.0,-30705.3707,35677.0524,False
0,2,1363.5713,1.0,-35991.9049,38719.0475,False
0,3,355987.8889,0.0,270288.5491,441687.2287,True
0,4,29025.3889,0.6038,-19830.7517,77881.5295,False
0,5,-3716.9111,1.0,-41072.3873,33638.5651,False
0,6,8179.0556,0.9994,-34670.6143,51028.7254,False
0,7,-5808.7778,1.0,-60009.7993,48392.2438,False
0,8,221233.3889,0.0,157677.0575,284789.7203,True
1,2,-1122.2696,1.0,-33188.0263,30943.4872,False
1,3,353502.048,0.0,269972.664,437031.432,True
1,4,26539.548,0.6114,-18401.5649,71480.6609,False
1,5,-6202.752,0.9994,-38268.5088,25863.0048,False
1,6,5693.2147,0.9999,-32632.6952,44019.1246,False
1,7,-8294.6186,0.9998,-58995.0318,42405.7945,False
1,8,218747.548,0.0,158148.9637,279346.1323,True
2,3,354624.3176,0.0,269354.5511,439894.084,True
2,4,27661.8176,0.6443,-20436.8176,75760.4528,False
2,5,-5080.4824,0.9999,-41439.633,31278.6682,False
2,6,6815.4843,0.9998,-35168.4465,48799.415,False
2,7,-7172.3491,1.0,-60691.5696,46346.8715,False
2,8,219869.8176,0.0,156893.9215,282845.7137,True
3,4,-326962.5,0.0,-417860.3765,-236064.6235,True
3,5,-359704.8,0.0,-444974.5664,-274435.0336,True
3,6,-347808.8333,0.0,-435624.5249,-259993.1418,True
3,7,-361796.6667,0.0,-455675.5898,-267917.7435,True
3,8,-134754.5,0.0017,-234328.1347,-35180.8653,True
4,5,-32742.3,0.4208,-80840.9352,15356.3352,False
4,6,-20846.3333,0.9319,-73326.2468,31633.5801,False
4,7,-34834.1667,0.674,-96929.2376,27260.9043,False
4,8,192208.0,0.0,121798.8077,262617.1923,True
5,6,11895.9667,0.9911,-30087.9641,53879.8974,False
5,7,-2091.8667,1.0,-55611.0872,51427.3539,False
5,8,224950.3,0.0,161974.4039,287926.1961,True
6,7,-13987.8333,0.9968,-71476.6981,43501.0315,False
6,8,213054.3333,0.0,146671.9102,279436.7565,True
7,8,227042.1667,0.0,152824.3613,301259.972,True
