group1,group2,meandiff,p-adj,lower,upper,reject
0,1,286950590.3657,0.9978,-960059320.3399,1533960501.0713,False
0,2,197243199.3818,0.9999,-1206220150.824,1600706549.5875,False
0,3,13117668579.4444,0.0,9897902834.9656,16337434323.9233,True
0,4,1283259941.6944,0.3846,-552288946.521,3118808829.9099,False
0,5,-70808791.0556,1.0,-1474272141.2613,1332654559.1502,False
0,6,247989438.4444,0.9999,-1361893433.795,1857872310.6839,False
0,7,194746700.4444,1.0,-1841611956.5037,2231105357.3926,False
0,8,3075485063.4444,0.0034,687642879.1438,5463327247.7451,True
1,2,-89707390.9839,1.0,-1294433419.135,1115018637.1672,False
1,3,12830717989.0787,0.0,9692478534.0891,15968957444.0683,True
1,4,996309351.3287,0.6125,-692150049.5936,2684768752.251,False
1,5,-357759381.4213,0.988,-1562485409.5724,846966646.7298,False
1,6,-38961151.9213,1.0,-1478884167.1773,1400961863.3347,False
1,7,-92203889.9213,1.0,-1997042992.6441,1812635212.8015,False
1,8,2788534473.0787,0.0064,511816281.3256,5065252664.8319,True
2,3,12920425380.0627,0.0,9716798913.88,16124051846.2454,True
2,4,1086016742.3127,0.589,-721072299.914,2893105784.5393,False
2,5,-268051990.4373,0.9993,-1634082905.4892,1097978924.6146,False
2,6,50746239.0627,1.0,-1526610393.9904,1628102872.1158,False
2,7,-2496498.9373,1.0,-2013239561.8955,2008246564.0209,False
2,8,2878241864.0627,0.007,512206914.483,5244276813.6424,True
3,4,-11834408637.75,0.0,-15249485925.3797,-8419331350.1203,True
3,5,-13188477370.5,0.0,-16392103836.6827,-9984850904.3173,True
3,6,-12869679141.0,0.0,-16168957247.1598,-9570401034.8402,True
3,7,-12922921879.0,0.0,-16449998535.267,-9395845222.733,True
3,8,-10042183516.0,0.0,-13783213248.1167,-6301153783.8833,True
4,5,-1354068732.75,0.2941,-3161157774.9766,453020309.4766,False
4,6,-1035270503.25,0.746,-3006966294.5664,936425288.0664,False
4,7,-1088513241.25,0.8472,-3421455163.1359,1244428680.6359,False
4,8,1792225121.75,0.4273,-853082370.4502,4437532613.9502,False
5,6,318798229.5,0.9991,-1258558403.5531,1896154862.5531,False
5,7,265555491.5,1.0,-1745187571.4582,2276298554.4582,False
5,8,3146293854.5,0.0022,780258904.9203,5512328804.0797,True
6,7,-53242738.0,1.0,-2213127260.884,2106641784.884,False
6,8,2827495625.0,0.0154,333475803.5889,5321515446.4111,True
7,8,2880738363.0,0.0378,92339434.0464,5669137291.9536,True
