group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-199746.9444,0.9965,-1010060.5483,610566.6594,False
0,2,166080.9,0.9996,-745896.9724,1078058.7724,False
0,3,-22542.0,1.0,-2114762.7286,2069678.7286,False
0,4,388290.25,0.9785,-804459.0793,1581039.5793,False
0,5,343451.9,0.9493,-568525.9724,1255429.7724,False
0,6,-94934.0,1.0,-1141044.3643,951176.3643,False
0,7,-18308.0,1.0,-1341544.5741,1304928.5741,False
0,8,236694.5,0.9999,-1314937.9202,1788326.9202,False
1,2,365827.8444,0.8461,-417009.47,1148665.1589,False
1,3,177204.9444,1.0,-1862039.5722,2216449.461,False
1,4,588037.1944,0.7248,-509132.6118,1685207.0007,False
1,5,543198.8444,0.3948,-239638.47,1326036.1589,False
1,6,104812.9444,1.0,-830856.6102,1040482.4991,False
1,7,181438.9444,0.9999,-1056335.531,1419213.4199,False
1,8,436441.4444,0.9885,-1042982.0205,1915864.9094,False
2,3,-188622.9,1.0,-2270356.2407,1893110.4407,False
2,4,222209.35,0.9995,-952046.6216,1396465.3216,False
2,5,177371.0,0.9992,-710283.079,1065025.079,False
2,6,-261014.9,0.9957,-1285989.5429,763959.7429,False
2,7,-184388.9,0.9999,-1490980.3263,1122202.5263,False
2,8,70613.6,1.0,-1466848.3643,1608075.5643,False
3,4,410832.25,0.9996,-1808302.9474,2629967.4474,False
3,5,365993.9,0.9997,-1715739.4407,2447727.2407,False
3,6,-72392.0,1.0,-2216280.2798,2071496.2798,False
3,7,4234.0,1.0,-2287678.9767,2296146.9767,False
3,8,259236.5,1.0,-2171704.3116,2690177.3116,False
4,5,-44838.35,1.0,-1219094.3216,1129417.6216,False
4,6,-483224.25,0.9488,-1764442.5536,797994.0536,False
4,7,-406598.25,0.9938,-1922556.1907,1109359.6907,False
4,8,-151595.75,1.0,-1870530.4825,1567338.9825,False
5,6,-438385.9,0.8998,-1463360.5429,586588.7429,False
5,7,-361759.9,0.9924,-1668351.3263,944831.5263,False
5,8,-106757.4,1.0,-1644219.3643,1430704.5643,False
6,7,76626.0,1.0,-1326878.332,1480130.332,False
6,8,331628.5,0.9991,-1288998.7077,1952255.7077,False
7,8,255002.5,0.9999,-1556913.8013,2066918.8013,False
