group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-743578926.3333,0.0022,-1302734412.2712,-184423440.3954,True
0,2,-617199150.6,0.0586,-1246507887.3175,12109586.1175,False
0,3,823161572.0,0.6548,-620571684.652,2266894828.652,False
0,4,-808863177.25,0.0576,-1631917767.0665,14191412.5665,False
0,5,-640697659.5,0.043,-1270006396.2175,-11388922.7825,True
0,6,1540543701.0,0.0,818677072.674,2262410329.326,True
0,7,166626333.6667,0.9996,-746470751.2839,1079723418.6172,False
0,8,514666558.0,0.825,-556034681.3752,1585367797.3752,False
1,2,126379775.7333,0.9976,-413815744.695,666575296.1616,False
1,3,1566740498.3333,0.0185,159563384.1985,2973917612.4682,True
1,4,-65284250.9167,1.0,-822384357.9037,691815856.0704,False
1,5,102881266.8333,0.9994,-437314253.595,643076787.2616,False
1,6,2284122627.3333,0.0,1638465486.6831,2929779767.9835,True
1,7,910205260.0,0.0285,56081146.8133,1764329373.1867,True
1,8,1258245484.3333,0.0059,237371908.3302,2279119060.3365,True
2,3,1440360722.6,0.0489,3864269.6982,2876857175.5018,True
2,4,-191664026.65,0.9974,-1001957307.2925,618629253.9925,False
2,5,-23498508.9,1.0,-636022654.5019,589025636.7019,False
2,6,2157742851.6,0.0,1450460890.9032,2865024812.2968,True
2,7,783825484.2667,0.1367,-117785645.5346,1685436614.068,False
2,8,1131865708.6,0.0282,70942767.5548,2192788649.6452,True
3,4,-1632024749.25,0.0285,-3163335113.2547,-100714385.2453,True
3,5,-1463859231.5,0.0426,-2900355684.4018,-27362778.5982,True
3,6,717382129.0,0.8181,-762004231.0091,2196768489.0091,False
3,7,-656535238.3333,0.914,-2238065781.7107,924995305.044,False
3,8,-308495014.0,0.9996,-1985961471.8137,1368971443.8137,False
4,5,168165517.75,0.999,-642127762.8925,978458798.3925,False
4,6,2349406878.25,0.0,1465304427.379,3233509329.121,True
4,7,975489510.9167,0.0858,-70594616.2407,2021573638.074,False
4,8,1323529735.25,0.0181,137381827.717,2509677642.783,True
5,6,2181241360.5,0.0,1473959399.8032,2888523321.1968,True
5,7,807323993.1667,0.1133,-94287136.6346,1708935122.968,False
5,8,1155364217.5,0.0231,94441276.4548,2216287158.5452,True
6,7,-1373917367.3333,0.0009,-2342403078.3086,-405431656.358,True
6,8,-1025877143.0,0.0963,-2144188114.8758,92433828.8758,False
7,8,348040224.3333,0.9921,-902269452.2157,1598349900.8824,False
